wt_kg,ht_cm,bmi
77.0,181.7,23.32
113.6,178.8,35.53
107.1,168.8,37.59
86.5,187.8,24.53
63.2,171.4,21.51
54.9,177.8,17.37
57.0,184.9,16.67
115.8,196.8,29.9
66.2,150.1,29.38
101.7,197.9,25.97
103.3,161.6,39.56
59.0,177.5,18.73
107.4,170.3,37.03
80.1,163.0,30.15
96.7,184.4,28.44
41.6,188.8,11.67
88.5,186.8,25.36
51.2,171.7,17.37
44.6,159.1,17.62
48.9,185.0,14.29
50.5,194.8,13.31
62.0,195.8,16.17
84.0,181.1,25.61
80.0,163.0,30.11
108.7,157.2,43.99
50.4,175.5,16.36
55.3,184.6,16.23
61.0,198.0,15.56
49.9,187.8,14.15
103.2,179.1,32.17
91.0,161.7,34.8
45.8,157.7,18.42
85.7,165.1,31.44
81.3,163.2,30.52
71.7,172.4,24.12
69.6,184.5,20.45
55.5,175.7,17.98
64.7,166.2,23.42
88.8,199.7,22.27
70.5,188.8,19.78
93.3,176.4,29.98
93.5,183.7,27.71
116.8,185.9,33.8
88.7,196.9,22.88
80.3,196.4,20.82
47.3,159.0,18.71
95.0,156.3,38.89
62.7,175.5,20.36
98.6,199.8,24.7
104.9,191.2,28.69
91.0,195.5,23.81
64.8,188.6,18.22
51.5,188.9,14.43
116.7,161.1,44.97
118.0,165.5,43.08
101.4,194.3,26.86
44.2,191.8,12.02
46.0,192.3,12.44
40.2,151.1,17.61
95.1,191.2,26.01
94.8,162.6,35.86
41.6,166.4,15.02
84.8,168.7,29.8
115.2,190.9,31.61
54.3,187.3,15.48
57.5,181.1,17.53
95.0,175.9,30.7
66.7,153.3,28.38
99.1,171.5,33.69
75.2,189.0,21.05
97.4,154.2,40.96
42.2,195.3,11.06
74.9,184.4,22.03
61.0,156.9,24.78
104.0,179.7,32.21
83.3,198.5,21.14
63.6,197.7,16.27
116.4,181.3,35.41
42.6,193.5,11.38
66.5,176.6,21.32
56.7,186.2,16.35
45.9,174.6,15.06
78.4,154.2,32.97
112.9,169.6,39.25
43.8,169.4,15.26
64.0,173.2,21.33
59.1,180.3,18.18
107.8,158.3,43.02
54.2,188.6,15.24
72.6,159.2,28.65
64.2,171.2,21.9
93.8,190.2,25.93
62.0,152.7,26.59
81.8,187.2,23.34
104.5,184.9,30.57
64.5,162.8,24.34
114.2,175.0,37.29
61.5,159.4,24.2
86.1,155.7,35.52
108.9,183.0,32.52
107.8,164.6,39.79
114.9,196.5,29.76
87.4,187.3,24.91
98.7,183.2,29.41
96.9,187.4,27.59
100.4,153.0,42.89
49.7,196.8,12.83
98.3,158.5,39.13
84.7,194.9,22.3
47.0,154.2,19.77
88.8,179.3,27.62
82.5,168.8,28.95
86.9,199.2,21.9
106.7,161.1,41.11
69.4,184.1,20.48
82.7,176.0,26.7
48.9,191.6,13.32
107.0,184.7,31.37
64.5,154.1,27.16
61.4,174.3,20.21
97.8,187.2,27.91
48.5,155.0,20.19
41.4,192.0,11.23
51.8,196.9,13.36
54.0,161.6,20.68
49.0,155.2,20.34
85.3,193.1,22.88
107.1,174.1,35.33
46.7,158.6,18.57
56.3,154.6,23.56
50.9,194.6,13.44
84.8,154.6,35.48
46.8,180.4,14.38
97.2,175.0,31.74
112.1,163.6,41.88
100.4,168.3,35.45
46.4,175.4,15.08
82.8,192.7,22.3
60.4,175.0,19.72
101.0,196.9,26.05
61.6,198.6,15.62
40.6,183.4,12.07
85.1,189.5,23.7
116.1,184.3,34.18
109.9,158.6,43.69
109.4,175.1,35.68
108.4,172.6,36.39
85.1,174.9,27.82
106.8,180.5,32.78
104.1,157.1,42.18
46.2,173.6,15.33
77.5,188.5,21.81
104.7,160.0,40.9
59.6,197.4,15.3
61.5,155.6,25.4
63.1,183.8,18.68
52.4,196.9,13.52
51.5,196.0,13.41
55.0,177.9,17.38
81.3,195.4,21.29
56.1,179.9,17.33
46.9,183.5,13.93
44.0,196.0,11.45
78.0,183.6,23.14
89.8,174.2,29.59
108.6,162.5,41.13
86.8,185.9,25.12
65.7,195.3,17.23
116.3,152.1,50.27
118.5,175.4,38.52
82.0,166.6,29.54
88.9,168.6,31.27
89.7,196.2,23.3
106.5,159.4,41.92
41.8,153.2,17.81
54.3,160.6,21.05
56.6,199.3,14.25
106.2,168.4,37.45
49.4,190.8,13.57
88.3,195.8,23.03
101.1,151.6,43.99
78.1,153.5,33.15
61.0,173.3,20.31
108.0,183.1,32.21
105.7,192.8,28.44
88.7,183.2,26.43
115.0,155.6,47.5
73.1,197.0,18.84
111.5,178.0,35.19
47.2,180.7,14.46
57.0,174.8,18.65
69.9,157.7,28.11
100.0,198.3,25.43
87.6,164.5,32.37
101.5,187.9,28.75
60.3,163.8,22.47
94.3,174.6,30.93
109.0,171.7,36.97
98.3,181.1,29.97
47.5,181.0,14.5
90.7,157.3,36.66
84.8,192.5,22.88
53.8,198.5,13.65
111.1,154.6,46.48
58.5,160.1,22.82
82.5,163.1,31.01
70.2,187.6,19.95
63.6,190.5,17.53
118.8,164.1,44.12
96.4,164.6,35.58
85.0,157.7,34.18
42.2,182.8,12.63
43.0,180.7,13.17
64.0,193.6,17.08
41.3,198.2,10.51
69.6,157.4,28.09
76.2,179.6,23.62
